Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2001,Ford,F150 Dual-fuel 4WD (LPG),Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,12,11,15,2200
2001,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,2200
2001,Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,3200
2001,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,2900
2001,Chevrolet,Suburban 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,3200
2001,Chevrolet,Tahoe 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2900
2001,GMC,Yukon 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2050
2001,GMC,Yukon XL 1500 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,1650
2001,Chevrolet,Suburban 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,12,16,1850
2001,Chevrolet,Tahoe 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,12,16,1850
